Order Id,order date (DateOrders),Order Customer Id,Order Region,Order Country,Order State,Order Status,Order City,Order Zipcode,Shipping Mode,Days for shipment (scheduled),Benefit per order,Sales per customer,Order Profit Per Order,Order Item Id,Order Item Cardprod Id,Order Item Quantity,Order Item Product Price,Order Item Discount,Order Item Discount Rate,Order Item Profit Ratio,Sales,Order Item Total,Product Card Id,Product Category Id,Category Name,Product Name,Product Price,Product Status,Late_delivery_risk
42449,9/11/2016 15:25,8898,East Africa,Mozambique,Sofala,PENDING_PAYMENT,Beira,,Standard Class,4,70.87000275,188.9900055,70.87000275,105992,1073,1,199.9900055,11.0,0.059999999,0.379999995,199.9900055,188.9900055,1073,48,Water Sports,Pelican Sunstream 100 Kayak,199.9900055,0,1
12767,7/6/2015 8:29,3523,Northern Europe,Reino Unido,Inglaterra,CLOSED,Bristol,,Standard Class,4,77.98999786,239.9600067,77.98999786,31926,365,4,59.99000168,0.0,0.0,0.330000013,239.9600067,239.9600067,365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0,0
43448,9/26/2016 5:25,1806,West Africa,Costa de Marfil,Lagunes,PENDING_PAYMENT,Abidjan,,Same Day,0,133.8300018,395.9599915,133.8300018,108525,191,4,99.98999786,4.0,0.01,0.340000004,399.9599915,395.9599915,191,9,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,0
39987,8/6/2016 16:52,9580,East of USA,Estados Unidos,Ohio,PROCESSING,Akron,44312.0,Standard Class,4,82.87000275,254.9799957,82.87000275,99772,957,1,299.980011,45.0,0.150000006,0.330000013,299.980011,254.9799957,957,43,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,0
66919,9/3/2017 20:21,4599,Western Europe,Francia,Languedoc-Rosellón-Mediodía-Pirineos,COMPLETE,Castres,,Second Class,2,57.11000061,203.9700012,57.11000061,167289,365,4,59.99000168,35.99000168,0.150000006,0.280000001,239.9600067,203.9700012,365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0,1
69241,10/7/2017 17:51,12794,Western Europe,Francia,Isla de Francia,PENDING_PAYMENT,Vincennes,,Standard Class,4,-11.34000015,56.72000122,-11.34000015,172556,1347,1,59.08000183,2.359999895,0.039999999,-0.200000003,59.08000183,56.72000122,1347,60,Baby ,Baby sweater,59.08000183,0,0
3243,2/17/2015 7:49,887,South America,Brasil,Marañón,COMPLETE,São Luís,,Standard Class,4,12.09000015,120.8899994,12.09000015,8085,403,1,129.9900055,9.100000381,0.07,0.100000001,129.9900055,120.8899994,403,18,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,0
27530,2/6/2016 20:38,155,Oceania,Australia,Nueva Gales del Sur,PROCESSING,Wollongong,,Standard Class,4,13.60999966,50.38999939,13.60999966,68915,365,1,59.99000168,9.600000381,0.159999996,0.270000011,59.99000168,50.38999939,365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0,1
57441,4/18/2017 11:47,4185,Central America,México,Chiapas,PENDING,Tuxtla Gutiérrez,,Second Class,2,134.3899994,383.980011,134.3899994,143695,1004,1,399.980011,16.0,0.039999999,0.349999994,399.980011,383.980011,1004,45,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,0
45870,10/31/2016 13:57,6241,Eastern Europe,Polonia,Podlaquia,COMPLETE,Bialystok,,Standard Class,4,40.5,149.9900055,40.5,114663,191,2,99.98999786,50.0,0.25,0.270000011,199.9799957,149.9900055,191,9,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,1
4451,3/6/2015 23:02,8128,Caribbean,Cuba,Camagüey,COMPLETE,Camagüey,,Second Class,2,33.15000153,97.48999786,33.15000153,11143,403,1,129.9900055,32.5,0.25,0.340000004,129.9900055,97.48999786,403,18,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,0
20548,10/27/2015 22:31,3747,South Asia,India,Bengala Occidental,PENDING_PAYMENT,Kamarhati,,Second Class,2,-318.480011,181.9900055,-318.480011,51325,1073,1,199.9900055,18.0,0.090000004,-1.75,199.9900055,181.9900055,1073,48,Water Sports,Pelican Sunstream 100 Kayak,199.9900055,0,1
61984,6/23/2017 19:24,823,Southern Europe,España,Valenciana,SUSPECTED_FRAUD,Alicante,,Second Class,2,33.40000153,115.1699982,33.40000153,154971,627,3,39.99000168,4.800000191,0.039999999,0.289999992,119.9700012,115.1699982,627,29,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,0
48807,12/13/2016 10:54,6935,North Africa,Egipto,El Cairo,PENDING,Cairo,,Standard Class,4,79.93000031,170.0700073,79.93000031,122063,365,3,59.99000168,9.899999619,0.059999999,0.469999999,179.9700012,170.0700073,365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0,0
65476,8/13/2017 18:48,9265,Western Europe,Países Bajos,Holanda Meridional,COMPLETE,Alphen aan den Rijn,,Standard Class,4,129.7899933,383.980011,129.7899933,163649,1004,1,399.980011,16.0,0.039999999,0.340000004,399.980011,383.980011,1004,45,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,0
63947,7/22/2017 11:07,8638,Western Europe,Alemania,Renania del Norte-Westfalia,COMPLETE,Hamm,,Standard Class,4,90.66999817,278.9700012,90.66999817,159857,78,3,99.98999786,21.0,0.07,0.330000013,299.9700012,278.9700012,78,5,Lacrosse,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786,0,0
49318,12/20/2016 21:56,10636,West Asia,Turquía,Estambul,COMPLETE,Estambul,,First Class,1,7.139999866,14.86999989,7.139999866,123284,926,1,15.98999977,1.120000005,0.07,0.479999989,15.98999977,14.86999989,926,41,Trade-In,Glove It Imperial Golf Towel,15.98999977,0,1
22243,11/21/2015 16:21,9506,South Asia,India,Jammu y Cachemira,CLOSED,Jammu,,Standard Class,4,15.86999989,251.9799957,15.86999989,55699,957,1,299.980011,48.0,0.159999996,0.059999999,299.980011,251.9799957,957,43,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,0
56128,3/30/2017 7:47,8187,Central America,Panamá,Panamá,PROCESSING,San Miguelito,,Same Day,0,-46.3199997,59.38999939,-46.3199997,140369,365,1,59.99000168,0.600000024,0.01,-0.779999971,59.99000168,59.38999939,365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0,0
67240,9/8/2017 12:49,1955,Western Europe,Alemania,Berlín,COMPLETE,Berlín,,Second Class,2,186.1900024,379.980011,186.1900024,168058,1004,1,399.980011,20.0,0.050000001,0.49000001,399.980011,379.980011,1004,45,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,1
19826,10/17/2015 9:34,11801,Northern Europe,Suecia,Estocolmo,PENDING_PAYMENT,Estocolmo,,Standard Class,4,50.68000031,115.1800003,50.68000031,49559,365,2,59.99000168,4.800000191,0.039999999,0.439999998,119.9800034,115.1800003,365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0,0
17684,9/16/2015 3:08,3957,Western Europe,Francia,Provenza-Alpes-Costa Azul,COMPLETE,Toulon,,Standard Class,4,88.19000244,179.9700012,88.19000244,44180,365,3,59.99000168,0.0,0.0,0.49000001,179.9700012,179.9700012,365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0,1
2195,2/2/2015 0:39,679,Central America,Panamá,Panamá,COMPLETE,Panama City,,Standard Class,4,94.05999756,195.9499969,94.05999756,5508,627,5,39.99000168,4.0,0.02,0.479999989,199.9499969,195.9499969,627,29,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,1
6374,4/4/2015 0:44,726,Central America,Guatemala,Guatemala,COMPLETE,Mixco,,Standard Class,4,0.0,181.9799957,0.0,15962,191,2,99.98999786,18.0,0.090000004,0.0,199.9799957,181.9799957,191,9,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,1
